Matchup,Line 1,Line 2,Best Bet,Discount of Best Bet
GS  @ CHA,GS  -900,CHA +600,CHA +600,0.88
LA L @ IND,LA L +150,IND -180,LA L +150,0.59
LA C @ ORL,LA C -118,ORL -102,ORL -102,0.27
DET @ WAS,DET +142,WAS -170,DET +142,0.03
PHI @ CLE,PHI +270,CLE -340,PHI +270,0.44
CHI @ BKN,CHI -155,BKN +130,CHI -155,0.07
NY  @ SA ,NY  -410,SA  +320,SA  +320,0.29
PHO @ OKC,PHO -122,OKC +102,OKC +102,0.47
POR @ MIA,POR +700,MIA -1100,POR +700,0.41
MIN @ DEN,MIN +225,DEN -278,MIN +225,0.3
HOU @ UTA,HOU -325,UTA +260,UTA +260,0.45
DAL @ SAC,DAL -105,SAC -115,DAL -105,0.1
